mean	size
.2589072	5
-1.026144	5
-.1037298	5
.94240249	5
-.35130005	5
-.09835892	5
-1.0530702	5
-3.6331316	5
.69181618	5
.40254953	5
-1.6255336	5
-.3757984	5
1.9992734	5
.56635077	5
.81566388	5
.15850602	15
.3319717	15
1.1673194	15
.01116635	15
-1.0307637	15
.01401144	15
-.29189645	15
.11133404	15
-.1541863	15
-.5667987	15
.14550945	15
.0024407	15
.30606598	15
.01961832	15
.33611369	15
-1.1560351	25
-.54354223	25
.30935685	25
.43891883	25
-1.1660007	25
.59791338	25
.54788818	25
-.15418146	25
.88666896	25
-.99208682	25
-.718968	25
-.64905652	25
-1.0159112	25
.3622803	25
-.24208879	25
-.43834936	100
-.27138358	100
-.12071325	100
.16477363	100
-.11296486	100
-.49504835	100
.18358853	100
-.28421806	100
-.21477225	100
.41899578	100
.17421633	100
.40670781	100
-.39019595	100
-.1594001	100
.30115283	100
